State,Year,so2,no2,rspm
Goa,2007,4.411363636,13.72449799,50.45245902
Goa,2008,4.366666667,15.45,94.0
Goa,2009,5.465079365,14.19579832,71.23134328
Goa,2010,12.3373494,21.53719008,68.00655738
Goa,2011,8.651013874,16.52991453,94.4493063
Goa,2012,6.2318840579999994,17.44927536,81.36764706
Goa,2013,7.047949527,11.904040400000001,53.37660747
Goa,2014,3.259259259,7.527777778,55.59259259
Gujarat,2005,17.21020283,27.72972973,126.27429270000002
Gujarat,2006,16.40711538,25.74955128,114.6014121
Gujarat,2007,16.4303283,25.436875,95.7867151
Gujarat,2008,14.22519045,22.66922296,87.79776989
Gujarat,2009,16.12158155,23.94510989,91.96547945
Gujarat,2010,15.47908163,23.01632653,88.46173469
Gujarat,2011,14.94366925,25.14470284,88.33693972
Gujarat,2012,15.25853018,26.37270341,94.93350394
Gujarat,2013,12.74455446,18.74083113,85.95981555
Gujarat,2014,14.25557028,20.13089705,87.00719152
Haryana,2005,10.57364341,22.7788,127.0760095
Haryana,2006,10.15978836,19.49045936,146.50379750000002
Haryana,2007,8.061581921,12.17770701,110.4692737
Haryana,2008,9.668032787000001,14.19416667,166.04918030000002
Haryana,2009,12.69411765,27.29117647,274.94117650000004
Haryana,2010,14.6344086,23.67204301,161.577957
Haryana,2011,13.70227273,27.79545455,143.929385
Haryana,2012,9.711340206000001,27.85910653,159.664433
Haryana,2013,12.16814159,25.92035398,190.6283186
Haryana,2014,13.11061947,24.34955752,178.38495580000003
Himachal Pradesh,2005,5.277456647,16.7752,39.34615385
Himachal Pradesh,2006,4.889176829,15.58455657,91.27146172
Himachal Pradesh,2007,3.601996008,13.21361186,87.34767025
Himachal Pradesh,2008,3.247016706,12.43525881,107.465847
Himachal Pradesh,2009,3.536916549,14.28350669,96.43218552
Himachal Pradesh,2010,2.756587202,14.69806613,102.706422
Himachal Pradesh,2011,2.558982684,12.41556064,92.99582289
Himachal Pradesh,2012,2.054054054,14.09573811,92.93574828
Himachal Pradesh,2013,2.159065804,14.25257344,91.19899147
Himachal Pradesh,2014,2.1472187369999998,14.10376569,89.68555108
Jammu & Kashmir,2005,16.3748538,2.725964912,50.73187638
Jammu & Kashmir,2006,14.38877193,5.042105263,62.92124771
Jammu & Kashmir,2007,12.40269006,7.358245613999999,75.11061904
Jammu & Kashmir,2008,10.41660819,9.674385965,87.29999037
Jammu & Kashmir,2009,8.430526316,11.99052632,99.4893617
Jammu & Kashmir,2010,6.444444444,14.30666667,111.67873300000001
Jammu & Kashmir,2011,5.301587302,11.85483871,105.93548390000001
Jammu & Kashmir,2012,5.811881187999999,12.3019802,119.46078429999999
Jammu & Kashmir,2013,14.74137931,4.771551724,118.09333329999998
Jammu & Kashmir,2014,5.38121547,12.64088398,122.9888268
Jharkhand,2005,26.23721461,49.41369863,141.5272727
Jharkhand,2006,32.2221374,52.89847328,150.70229009999997
Jharkhand,2007,26.06073298,49.71239092,147.86585369999997
Jharkhand,2008,25.671150100000002,44.04035088,161.55086369999998
Jharkhand,2009,25.65011038,42.80265487,186.91452990000002
Jharkhand,2010,23.51409922,39.51568093,190.1105337
Jharkhand,2011,21.25710419,38.37618403,189.69647700000002
Jharkhand,2012,22.75766871,41.5,174.19969740000002
Jharkhand,2013,22.32160994,40.95242636,151.1040022
Jharkhand,2014,13.86333333,36.15946844,162.92739269999998
Karnataka,2005,10.36987952,35.136027399999996,60.72976189999999
Karnataka,2006,12.82259714,26.53690037,62.17183771
Karnataka,2007,12.4324941,25.47341326,74.64857342
Karnataka,2008,11.86115917,26.16227371,77.71026012
Karnataka,2009,10.84955117,26.63793103,81.78676471
Karnataka,2010,10.59082597,23.8149821,76.13743426
Karnataka,2011,10.33210077,20.99203317,70.48810382
Karnataka,2012,11.25337423,23.38499562,87.8461525
Karnataka,2013,8.545924968,18.00948685,82.10349288
Karnataka,2014,8.320222317,18.55964087,88.74902131
Kerala,2005,9.935363458,19.35619048,69.42302879
Kerala,2006,9.6569161,17.91897321,67.73349244
Kerala,2007,8.001632653,17.14801619,51.50632111
Kerala,2008,6.945961003,17.65121212,47.52313625
Kerala,2009,6.62,16.51970569,46.56495468
Kerala,2010,4.336634892,13.54105481,42.88237061
Kerala,2011,4.227283558,14.04636472,42.54845115
Kerala,2012,3.9516660939999997,12.104191,54.38852628
Kerala,2013,3.858992537,11.36108209,55.17313433
Kerala,2014,4.168224298999999,12.57568296,50.96345555
Madhya Pradesh,2005,12.52272727,18.70327613,96.03003003
Madhya Pradesh,2006,11.26710744,16.54239631,100.9471429
Madhya Pradesh,2007,10.90345763,17.34478417,107.18421049999999
Madhya Pradesh,2008,11.85228712,18.74419643,127.13072690000001
Madhya Pradesh,2009,11.50992301,17.90126283,121.87161640000001
Madhya Pradesh,2010,11.29500209,17.18102838,133.9099583
Madhya Pradesh,2011,12.10693312,19.46205502,136.3392467
Madhya Pradesh,2012,12.5041828,21.04043377,124.31010719999999
Madhya Pradesh,2013,12.21067024,22.15042934,145.06154890000002
Madhya Pradesh,2014,10.61300505,18.66023647,121.44910870000001
Maharashtra,2005,20.35380522,29.42313764,94.38078902
