year,so2,no2,rspm,industry,vehicle,pop_den
"[1.0, 0.0]","[-0.1241, 0.0332]","[-0.0494, 0.3977]","[0.0335, 0.5666]","[0.1179, 0.0429]","[0.1615, 0.0054]","[0.0524, 0.3701]"
"[-0.1241, 0.0332]","[1.0, 0.0]","[0.4904, 0.0]","[0.2707, 0.0]","[0.357, 0.0]","[0.2763, 0.0]","[-0.012, 0.8372]"
"[-0.0494, 0.3977]","[0.4904, 0.0]","[1.0, 0.0]","[0.5911, 0.0]","[0.4845, 0.0]","[0.4626, 0.0]","[0.3066, 0.0]"
"[0.0335, 0.5666]","[0.2707, 0.0]","[0.5911, 0.0]","[1.0, 0.0]","[0.3035, 0.0]","[0.3883, 0.0]","[0.1111, 0.0567]"
"[0.1179, 0.0429]","[0.357, 0.0]","[0.4845, 0.0]","[0.3035, 0.0]","[1.0, 0.0]","[0.9, 0.0]","[0.2531, 0.0]"
"[0.1615, 0.0054]","[0.2763, 0.0]","[0.4626, 0.0]","[0.3883, 0.0]","[0.9, 0.0]","[1.0, 0.0]","[0.2074, 0.0003]"
"[0.0524, 0.3701]","[-0.012, 0.8372]","[0.3066, 0.0]","[0.1111, 0.0567]","[0.2531, 0.0]","[0.2074, 0.0003]","[1.0, 0.0]"
