state,date,so2,no2,rspm,spm
Andhra Pradesh,2001,12.000952380952377,27.105714285714285,,142.7904761904762
Andhra Pradesh,2002,7.506666666666669,24.976190476190474,,85.86666666666666
Andhra Pradesh,2004,7.338766519823789,31.430506607929516,85.1208240534521,170.2429844097995
Andhra Pradesh,2005,6.105912596401028,30.127730061349727,79.3605359317905,220.25728155339806
Andhra Pradesh,2006,7.933035714285713,27.641621029572857,85.93876435210498,202.29180327868852
Andhra Pradesh,2007,6.538941118258277,27.03730826323605,81.51388212372139,199.02873843156357
Andhra Pradesh,2008,6.935286103542233,25.310249554367182,82.35834813499112,206.03553976010662
Andhra Pradesh,2009,7.343622200584221,22.135101253616202,82.74399615754082,214.43707973102786
Andhra Pradesh,2010,5.365274725274725,15.397188049209138,69.48728070175439,
Andhra Pradesh,2011,4.642877492877489,23.969164882226977,78.89409672830725,205.71986899563322
Andhra Pradesh,2012,7.438174273858921,15.76285240464345,77.66199036918138,
Andhra Pradesh,2013,7.379130434782609,17.400198609731877,76.64749580637431,
Andhra Pradesh,2014,8.658371040723981,18.58235294117647,74.89686291362268,
Arunachal Pradesh,2014,2.0,5.0,69.4,
Assam,2001,3.7083333333333335,19.575,,172.0
Assam,2002,3.141666666666666,18.7,,168.83333333333334
Assam,2004,3.189189189189189,14.31013513513513,197.10135135135135,
Assam,2005,5.3269999999999955,17.383050847457653,111.94845360824742,187.21452145214522
Assam,2006,6.190571169537674,16.2102954341986,94.94285714285714,164.38590308370044
Assam,2007,7.3598341232226545,14.167828106852372,84.85821325648415,136.1579250720461
Assam,2008,6.377758768177986,13.456972789115552,92.12118644067796,144.0627118644068
Assam,2009,6.822799097065476,15.251051051050878,96.98274568642161,175.37809452363092
Assam,2010,7.05086285195277,15.232515894641235,81.7451158564289,
Assam,2012,6.083540703874709,13.966121578386119,82.07465339495201,
Assam,2013,6.9416085200146895,15.43692618435549,124.68141755416819,
Assam,2014,6.808833271991159,14.052943340691712,80.74357090374724,
Bihar,2001,23.37283950617284,35.64814814814815,,297.08641975308643
Bihar,2002,24.355072463768114,43.291304347826085,,260.43835616438355
Bihar,2004,11.542713567839195,24.92964824120603,79.82142857142857,156.00502512562815
Bihar,2005,12.279104477611947,34.0701754385965,103.38805970149254,266.97014925373134
Bihar,2006,9.984523809523811,39.44378698224853,111.0828402366864,292.11242603550295
Bihar,2007,9.745197740112998,41.575,116.36216216216216,294.86486486486484
Bihar,2008,6.864485981308412,38.3118181818182,118.65441176470588,300.71223021582733
Bihar,2009,4.708695652173913,32.61746031746032,98.4776119402985,267.8333333333333
Bihar,2010,6.488,36.11678832116788,165.28057553956833,
Bihar,2011,4.25,35.734375,158.03030303030303,
Bihar,2012,6.0732984293193715,34.15584415584416,161.66390041493776,
Chandigarh,2001,,,,247.08333333333334
Chandigarh,2002,8.005,9.200000000000001,,296.375
Chandigarh,2004,6.128113879003559,30.437722419928825,113.75451263537906,206.76868327402136
Chandigarh,2005,5.194155844155843,15.704867256637176,94.54714285714286,225.7744252873563
Chandigarh,2006,3.9375,14.727079646017707,105.10028248587571,220.85572842998585
Chandigarh,2007,5.3,15.559186535764354,102.216,219.46266666666668
Chandigarh,2008,5.3,15.897564469914027,95.54188481675392,198.07329842931938
Chandigarh,2009,5.8,15.47037037037037,80.83794466403162,162.93139841688654
Chandigarh,2010,2.0053691275167784,15.695710455764075,91.97046979865772,
Chandigarh,2011,2.0136363636363637,15.813049645390064,101.65701881331404,200.7973950795948
Chandigarh,2012,2.0,19.62668329177058,111.1489757914339,
