State/UT,Population
Andhra Pradesh,78630294.48865767
Arunachal Pradesh,1176868.4021358197
Assam,27946071.360255882
Bihar,88834924.27613728
Chandigarh,944529.3845121495
Chhattisgarh,22147808.98423426
Dadra & Nagar Haveli,251900.77259173946
Daman & Diu,179997.4985815662
Delhi,14673212.26134084
Goa,1380015.585558045
Gujarat,53423016.604705304
Haryana,22327495.836759932
Himachal Pradesh,6303940.334437301
Jammu & Kashmir,10810362.701110644
Jharkhand,28631981.81730521
Karnataka,55199743.66939507
Kerala,32302924.38913641
Madhya Pradesh,63795966.59016114
Maharashtra,101288402.3015411
Manipur,2449738.1745669222
Meghalaya,2496764.4843295254
Mizoram,946611.183574758
Nagaland,1986568.757645628
Odisha,38284832.48609989
Puducherry,1049441.9037942402
Punjab,25328485.382369407
Rajasthan,59878629.83074285
Sikkim,560888.4256753542
Tamil Nadu,65181209.7014959
Uttar Pradesh,175640475.098252
Uttarakhand,8939876.775002511
West Bengal,83356402.06836784
