State,Year,Feature
Uttarakhand,2013,1460
Uttarakhand,2014,1640
Uttar Pradesh,2005,7344
Uttar Pradesh,2006,7989
Uttar Pradesh,2007,9086
Uttar Pradesh,2008,9826
Uttar Pradesh,2009,10779
Uttar Pradesh,2010,11988
Uttar Pradesh,2011,13287
Uttar Pradesh,2012,15445.0
Uttar Pradesh,2013,17048
Uttar Pradesh,2014,19115
West Bengal,2005,2681
West Bengal,2006,2872
West Bengal,2007,3198
West Bengal,2008,2762
West Bengal,2009,3044
West Bengal,2010,2747
West Bengal,2011,3261
West Bengal,2012,3861.0
West Bengal,2013,6111
West Bengal,2014,6745
Chandigarh,2005,617
Chandigarh,2006,647
Chandigarh,2007,678
Chandigarh,2008,712
Chandigarh,2009,747
Chandigarh,2010,949
Chandigarh,2011,1008
Chandigarh,2012,1058.0
Chandigarh,2013,1106
Chandigarh,2014,631
Dadra & Nagar Haveli,2005,40
Dadra & Nagar Haveli,2006,45
Dadra & Nagar Haveli,2007,51
Dadra & Nagar Haveli,2008,58
Dadra & Nagar Haveli,2009,63
Dadra & Nagar Haveli,2010,69
Dadra & Nagar Haveli,2011,76
Dadra & Nagar Haveli,2012,85.0
Dadra & Nagar Haveli,2013,93
Dadra & Nagar Haveli,2014,103
Daman & Diu,2005,51
Daman & Diu,2006,55
Daman & Diu,2007,62
Daman & Diu,2008,68
Daman & Diu,2009,70
Daman & Diu,2010,72
Daman & Diu,2011,78
Daman & Diu,2012,85.0
Daman & Diu,2013,92
Daman & Diu,2014,95
Delhi,2005,4187
Delhi,2006,4487
Delhi,2007,5492
Delhi,2008,5899
Delhi,2009,6302
Delhi,2010,6747
Delhi,2011,7228
Delhi,2012,7350.0
Delhi,2013,7785
Delhi,2014,8293
Puducherry,2005,347
Puducherry,2006,384
Puducherry,2007,432
Puducherry,2008,484
Puducherry,2009,538
Puducherry,2010,599
Puducherry,2011,673
Puducherry,2012,755.0
Puducherry,2013,700
Puducherry,2014,751
