State/UT,Population
Andhra Pradesh,77815109.92783642
Arunachal Pradesh,1149957.6040962446
Assam,27509093.04927564
Bihar,86845220.30915165
Chandigarh,929665.2314159153
Chhattisgarh,21700847.61130053
Dadra & Nagar Haveli,240962.41036484265
Daman & Diu,172418.34277404047
Delhi,14393685.982390424
Goa,1369147.6949615486
Gujarat,52489464.88234723
Haryana,21926009.07480723
Himachal Pradesh,6227674.60641062
Jammu & Kashmir,10583410.521491734
Jharkhand,28058521.932563327
Karnataka,54405304.32653491
Kerala,32148335.640237715
Madhya Pradesh,62625301.59041394
Maharashtra,99796613.81537995
Manipur,2396648.560294744
Meghalaya,2435982.642227731
Mizoram,926855.6996442598
Nagaland,1987723.8333566887
Odisha,37784942.94968449
Puducherry,1023787.5751012914
Punjab,25001110.100300517
Rajasthan,58733038.327122875
Sikkim,554128.1304229765
Tamil Nadu,64242581.15514986
Uttar Pradesh,172434805.32153526
Uttarakhand,8787105.03592768
West Bengal,82282559.28695282
