State/UT,Population
Andhra Pradesh,79454018.85452217
Arunachal Pradesh,1204408.9547407348
Assam,28389991.014010496
Bihar,90870214.1931861
Chandigarh,959631.1963265999
Chhattisgarh,22603976.194307305
Dadra & Nagar Haveli,263335.6760344452
Daman & Diu,187909.8184935053
Delhi,14958166.958051614
Goa,1390969.7422648026
Gujarat,54373172.01735192
Haryana,22736334.215665508
Himachal Pradesh,6381140.03246708
Jammu & Kashmir,11042181.675958669
Jharkhand,29217162.07135944
Karnataka,56005783.60666964
Kerala,32458256.49475359
Madhya Pradesh,64988515.02211272
Maharashtra,102802490.47105184
Manipur,2504003.809049264
Meghalaya,2559062.9350742735
Mizoram,966787.7461537211
Nagaland,1985414.3531545203
Odisha,38791335.49150875
Puducherry,1075739.085161603
Punjab,25660147.45709988
Rajasthan,61046566.166684575
Sikkim,567731.1957009662
Tamil Nadu,66133552.26013992
Uttar Pradesh,178905740.2605882
Uttarakhand,9095304.588423163
West Bengal,84444259.22086209
