State/UT,Population
Andhra Pradesh,81127445.78770383
Arunachal Pradesh,1261438.6174694686
Assam,29299097.150599074
Bihar,95081753.47037916
Chandigarh,990563.0562957247
Chhattisgarh,23544690.46300033
Dadra & Nagar Haveli,287786.29068127915
Daman & Diu,204793.17523969637
Delhi,15544785.332866376
Goa,1413139.5984642464
Gujarat,56324480.38583119
Haryana,23576606.750582896
Himachal Pradesh,6538387.229165577
Jammu & Kashmir,11520839.7063758
Jharkhand,30423646.746459212
Karnataka,57653345.31668597
Kerala,32771165.09137653
Madhya Pradesh,67440906.11175376
Maharashtra,105898904.21133691
Manipur,2616167.918654759
Meghalaya,2688361.974403072
Mizoram,1008440.1989130935
Nagaland,1983107.556272195
Odisha,39824533.04795451
Puducherry,1130326.8446384796
Punjab,26336557.251999583
Rajasthan,63451225.185849406
Sikkim,581668.1970756778
Tamil Nadu,68080183.82670565
Uttar Pradesh,185619508.99939162
Uttarakhand,9414313.95413586
West Bengal,86662750.61391845
