State,Year,Feature
Uttarakhand,2007,1151
Uttarakhand,2008,1454
Uttarakhand,2009,1907.0
Uttarakhand,2010,2344.0
Uttarakhand,2011,2739.0
Uttarakhand,2012,14090.0
Uttarakhand,2013,14440.0
Uttarakhand,2014,2936.0
Uttar Pradesh,2005,9581
Uttar Pradesh,2006,10508
Uttar Pradesh,2007,10693
Uttar Pradesh,2008,10694
Uttar Pradesh,2009,10935.0
Uttar Pradesh,2010,11015.0
Uttar Pradesh,2011,13756.0
Uttar Pradesh,2012,2843.0
Uttar Pradesh,2013,2911.0
Uttar Pradesh,2014,14463.0
West Bengal,2005,1603
West Bengal,2006,1589
West Bengal,2007,5927
West Bengal,2008,5984
West Bengal,2009,6260.0
West Bengal,2010,6818.0
West Bengal,2011,8232.0
West Bengal,2012,8402.0
West Bengal,2013,8607.0
West Bengal,2014,8859.0
Chandigarh,2005,287
Chandigarh,2006,296
Chandigarh,2007,274
Chandigarh,2008,294
Chandigarh,2009,278.0
Chandigarh,2010,284.0
Chandigarh,2011,308.0
Chandigarh,2012,308.0
Chandigarh,2013,297.0
Chandigarh,2014,285.0
Dadra & Nagar Haveli,2005,1057
Dadra & Nagar Haveli,2006,1124
Dadra & Nagar Haveli,2007,1054
Dadra & Nagar Haveli,2008,1014
Dadra & Nagar Haveli,2009,1151.0
Dadra & Nagar Haveli,2010,1103.0
Dadra & Nagar Haveli,2011,1457.0
Dadra & Nagar Haveli,2012,1480.0
Dadra & Nagar Haveli,2013,1413.0
Dadra & Nagar Haveli,2014,1405.0
Daman & Diu,2005,1681
Daman & Diu,2006,1534
Daman & Diu,2007,1523
Daman & Diu,2008,1484
Daman & Diu,2009,1443.0
Daman & Diu,2010,1447.0
Daman & Diu,2011,1940.0
Daman & Diu,2012,1950.0
Daman & Diu,2013,1885.0
Daman & Diu,2014,1881.0
Delhi,2005,3156
Delhi,2006,3306
Delhi,2007,3270
Delhi,2008,3199
Delhi,2009,3026.0
Delhi,2010,2878.0
Delhi,2011,3920.0
Delhi,2012,3849.0
Delhi,2013,3958.0
Delhi,2014,3918.0
Puducherry,2005,597
Puducherry,2006,633
Puducherry,2007,740
Puducherry,2008,695
Puducherry,2009,675.0
Puducherry,2010,671.0
Puducherry,2011,827.0
Puducherry,2012,832.0
Puducherry,2013,911.0
Puducherry,2014,857.0
