State/UT,Population
Andhra Pradesh,82836117.73103186
Arunachal Pradesh,1321168.677283554
Assam,30237314.742953006
Bihar,99488483.91379564
Chandigarh,1022491.945086768
Chhattisgarh,24524554.628495395
Dadra & Nagar Haveli,314507.13534635707
Daman & Diu,223193.4710011258
Delhi,16154409.27505015
Goa,1435662.8070832067
Gujarat,58345816.016057886
Haryana,24447933.453082412
Himachal Pradesh,6699509.388761572
Jammu & Kashmir,12020246.671813777
Jharkhand,31679951.635708988
Karnataka,59349374.51369213
Kerala,33087090.232953325
Madhya Pradesh,69985840.04614983
Maharashtra,109088582.01562563
Manipur,2733356.296769001
Meghalaya,2824193.968174769
Mizoram,1051887.1787832761
Nagaland,1980803.439592039
Odisha,40885249.56390811
Puducherry,1187684.6284881874
Punjab,27030797.428092577
Rajasthan,65950605.09369883
Sikkim,595947.3322080366
Tamil Nadu,70084114.21250074
Uttar Pradesh,192585224.32533348
Uttarakhand,9744512.277230142
West Bengal,88939525.4723812
