State/UT,Population
Andhra Pradesh,81977330.1009989
Arunachal Pradesh,1290958.244761051
Assam,29764509.440389268
Bihar,97260163.99653713
Chandigarh,1006400.88740169
Chhattisgarh,24029628.53376777
Dadra & Nagar Haveli,300850.19839468796
Daman & Diu,213795.46211061088
Delhi,15846666.032952173
Goa,1424356.6838161063
Gujarat,57326239.80161064
Haryana,24008317.57720112
Himachal Pradesh,6618458.025035254
Jammu & Kashmir,11767894.252459262
Jharkhand,31045445.036425598
Karnataka,58495213.33551331
Kerala,32928748.783052552
Madhya Pradesh,68701589.99400674
Maharashtra,107481911.48943765
Manipur,2674120.2392300977
Meghalaya,2755441.103050394
Mizoram,1029934.6172482696
Nagaland,1981955.1631015588
Odisha,40351406.07750523
Puducherry,1158650.8613662175
Punjab,26681419.45309813
Rajasthan,64688845.212627746
Sikkim,588764.4777646734
Tamil Nadu,69074882.40249766
Uttar Pradesh,189070290.57947227
Uttarakhand,9577990.285429189
West Bengal,87793757.84036826
