State/UT,Population
Andhra Pradesh,85466838.12124768
Arunachal Pradesh,1416108.3658053703
Assam,31701272.454594858
Bihar,106484466.30324093
Chandigarh,1072325.2900025377
Chhattisgarh,26071339.51181809
Dadra & Nagar Haveli,359311.4897698858
Daman & Diu,253939.63793545033
Delhi,17113963.860628642
Goa,1470122.5000377232
Gujarat,61514642.53896743
Haryana,25815672.1695033
Himachal Pradesh,6948667.707062548
Jammu & Kashmir,12810239.486491615
Jharkhand,33662345.263407126
Karnataka,61987425.22538805
Kerala,33566697.65731922
Madhya Pradesh,73984433.81266253
Maharashtra,114054136.85005416
Manipur,2919054.423081036
Meghalaya,3040917.8438864364
Mizoram,1120592.4187378527
Nagaland,1977352.2831398747
Odisha,42529531.06227881
Puducherry,1279224.5227591854
Punjab,28106621.192900054
Rajasthan,69885478.45486659
Sikkim,618025.9645403133
Tamil Nadu,73201148.01136287
Uttar Pradesh,203526976.1130466
Uttarakhand,10261651.275137419
West Bengal,92467329.73685008
