State/UT,Population
Andhra Pradesh,77008376.63726059
Arunachal Pradesh,1123662.1603731015
Assam,27078947.542871237
Bihar,84900081.26872498
Chandigarh,915034.9969789531
Chhattisgarh,21262906.293986622
Dadra & Nagar Haveli,230499.0278967444
Daman & Diu,165158.32252788323
Delhi,14119484.70925552
Goa,1358365.391112951
Gujarat,51572226.70560502
Haryana,21531741.735095244
Himachal Pradesh,6152331.549120472
Jammu & Kashmir,10361222.963861732
Jharkhand,27496547.673982654
Karnataka,53622298.62136088
Kerala,31994486.690652475
Madhya Pradesh,61476118.458798595
Maharashtra,98326796.57999259
Manipur,2344709.4800562975
Meghalaya,2376680.4880790752
Mizoram,907512.5065804872
Nagaland,1988879.5806779785
Odisha,37291580.529424265
Puducherry,998760.384107253
Punjab,24677966.203318097
Rajasthan,57609364.15689673
Sikkim,547449.3158890577
Tamil Nadu,63317469.1353005
Uttar Pradesh,169287643.23623532
Uttarakhand,8636943.982083455
West Bengal,81222550.33582059
