State/UT,Population
Andhra Pradesh,87266904.51018445
Arunachal Pradesh,1483162.1536166735
Assam,32716412.660589147
Bihar,111419675.44992153
Chandigarh,1106889.6266338169
Chhattisgarh,27156355.74400136
Dadra & Nagar Haveli,392673.4212287822
Daman & Diu,276755.6543290322
Delhi,17785126.690587338
Goa,1493553.9259207447
Gujarat,63722239.269428395
Haryana,26769748.586954925
Himachal Pradesh,7119900.200342049
Jammu & Kashmir,13365539.533322578
Jharkhand,35052387.99202756
Karnataka,63810953.11352721
Kerala,33890292.00253353
Madhya Pradesh,76776292.7463922
Maharashtra,117489450.47777516
Manipur,3049810.2706047576
Meghalaya,3194563.0514752474
Mizoram,1168871.291706282
Nagaland,1975054.853349081
Odisha,43662294.52642789
Puducherry,1344138.0334129422
Punjab,28847520.827564966
Rajasthan,72638307.26453774
Sikkim,633197.6316648773
Tamil Nadu,75355813.23888993
Uttar Pradesh,211164702.2572198
Uttarakhand,10621569.168224053
West Bengal,94896600.56062002
