State/UT,Population
Andhra Pradesh,83703901.94820166
Arunachal Pradesh,1352086.0809547375
Assam,30717630.495322075
Bihar,101767856.69226283
Chandigarh,1038840.2781187437
Chhattisgarh,25029674.465456616
Dadra & Nagar Haveli,328784.02178749663
Daman & Diu,233004.59703750658
Delhi,16468128.910091607
Goa,1447058.6750222587
Gujarat,59383525.90996265
Haryana,24895599.12744315
Himachal Pradesh,6781553.328634336
Jammu & Kashmir,12278010.572796855
Jharkhand,32327426.276650723
Karnataka,60216008.35889284
Kerala,33246193.08484121
Madhya Pradesh,71294096.79444905
Maharashtra,110719269.51493914
Manipur,2793904.528106702
Meghalaya,2894662.3323013117
Mizoram,1074307.6486203023
Nagaland,1979652.3853544919
Odisha,41426155.725337155
Puducherry,1217445.9311097634
Punjab,27384750.30846737
Rajasthan,67236975.67839661
Sikkim,603217.8165949562
Tamil Nadu,71108091.59731905
Uttar Pradesh,196165502.8654504
Uttarakhand,9913929.403910855
West Bengal,90100246.14318486
