State/UT,Population
Andhra Pradesh,80286372.48771079
Arunachal Pradesh,1232593.999148138
Assam,28840962.272852972
Bihar,92952134.47639097
Chandigarh,974974.4667169492
Chhattisgarh,23069538.849487085
Dadra & Nagar Haveli,275289.6609210015
Daman & Diu,196169.94771880828
Delhi,15248655.492734013
Goa,1402010.8498367618
Gujarat,55340226.42532973
Haryana,23152658.82685115
Himachal Pradesh,6459285.138140286
Jammu & Kashmir,11278971.810293699
Jharkhand,29814302.235556114
Karnataka,56823593.53302918
Kerala,32614335.53160043
Madhya Pradesh,66203355.956844084
Maharashtra,104339211.66599254
Manipur,2559471.5144779403
Meghalaya,2622915.836384766
Mizoram,987394.3624702342
Nagaland,1984260.6194933169
Odisha,39304539.4611854
Puducherry,1102695.2279687256
Punjab,25996152.457597695
Rajasthan,62237283.172268674
Sikkim,574657.446681934
Tamil Nadu,67099809.202287376
Uttar Pradesh,182231708.72365507
Uttarakhand,9253434.654435514
West Bengal,85546313.64141096
