State/UT,Population
Andhra Pradesh,88181105.27779035
Arunachal Pradesh,1517870.4568043267
Assam,33236108.556057185
Bihar,113972402.81308307
Chandigarh,1124587.3702031448
Chhattisgarh,27715681.45627883
Dadra & Nagar Haveli,410498.6252171215
Daman & Diu,288921.26380552736
Delhi,18130514.959482722
Goa,1505409.3164871582
Gujarat,64855571.57441241
Haryana,27259928.97691077
Himachal Pradesh,7207092.355773138
Jammu & Kashmir,13652152.088198954
Jharkhand,35768788.46480184
Karnataka,64742736.00283028
Kerala,34053257.136999965
Madhya Pradesh,78211484.5370263
Maharashtra,119245716.57506366
Manipur,3117368.4656410045
Meghalaya,3274272.74382405
Mizoram,1193785.2217052956
Nagaland,1973907.1396421606
Odisha,44239940.60620927
Puducherry,1377819.7851322459
Punjab,29225262.665028363
Rajasthan,74055121.88897653
Sikkim,640922.5651381039
Tamil Nadu,76456813.7928422
Uttar Pradesh,215090384.7937188
Uttarakhand,10806234.719267156
West Bengal,96135065.07091153
